artist_id,name,thumbnail,release_date
1,m-tp M-TP,https://upload.wikimedia.org/wikipedia/vi/9/9e/Sontungmtpalbumcover.jpg,2017-01-04
2,Anh là người tốt thôi,https://photo-resize-zmp3.zadn.vn/w600_r1x1_jpeg/images/9/4/9/d/949ddf8a0dd4c0a8a14a7ae1c6e56190.jpg,2021-02-02
3,Mình đã từng yêu,https://cdns-images.dzcdn.net/images/cover/949b17dd54dad8ed7a496d0fa159d13a/1900x1900-000000-80-0-0.jpg,2019-02-02
4,Nhạt,https://cdns-images.dzcdn.net/images/cover/e17ced50529f6597c84976d8f054c7a3/1900x1900-000000-80-0-0.jpg,2020-07-01
5,Sắp 30,https://i.ytimg.com/vi/TF70IYJN4sc/maxresdefault.jpg,2021-07-05
6,Enjoy u life,https://photo-resize-zmp3.zadn.vn/w360_r1x1_jpeg/covers/0/c/0c2b0067691ef5521afcebe2887028dc_1443425336.jpg,2015-02-01
7,CAM,https://file.hstatic.net/1000304920/file/orange-camon_standard_d46e7517126345eeae038fe0423da846.jpg,2021-09-01
